# Station: FINO2
# Parameter: winddirection_vane_51m_0deg
# Unit: degree
# Titles:
Time	Value	Deviation	Quality
# Data:
2020-10-05 20:35:00	149	-99.999	2
2020-10-05 20:45:00	236	-99.999	2
2020-10-05 20:55:00	241	-99.999	2
2020-10-05 21:05:00	241	-99.999	2
2020-10-05 21:15:00	246	-99.999	2
2020-10-05 21:25:00	250	-99.999	2
2020-10-05 21:35:00	247	-99.999	2
2020-10-05 21:45:00	246	-99.999	2
2020-10-05 21:55:00	244	-99.999	2
2020-10-05 22:05:00	240	-99.999	2
2020-10-05 22:15:00	241	-99.999	2
2020-10-05 22:25:00	240	-99.999	2
2020-10-05 22:35:00	237	-99.999	2
2020-10-05 22:45:00	238	-99.999	2
2020-10-05 22:55:00	237	-99.999	2
2020-10-05 23:05:00	240	-99.999	2
2020-10-05 23:15:00	243	-99.999	2
2020-10-05 23:25:00	241	-99.999	2
2020-10-05 23:35:00	237	-99.999	2
2020-10-05 23:45:00	237	-99.999	2
2020-10-05 23:55:00	235	-99.999	2
2020-10-06 00:05:00	237	-99.999	2
2020-10-06 00:15:00	238	-99.999	2
2020-10-06 00:25:00	237	-99.999	2
2020-10-06 00:35:00	237	-99.999	2
2020-10-06 00:45:00	242	-99.999	2
2020-10-06 00:55:00	244	-99.999	2
2020-10-06 01:05:00	240	-99.999	2
2020-10-06 01:15:00	229	-99.999	2
2020-10-06 01:25:00	233	-99.999	2
2020-10-06 01:35:00	225	-99.999	2
2020-10-06 01:45:00	225	-99.999	2
2020-10-06 01:55:00	223	-99.999	2
2020-10-06 02:05:00	218	-99.999	2
2020-10-06 02:15:00	224	-99.999	2
2020-10-06 02:25:00	229	-99.999	2
2020-10-06 02:35:00	224	-99.999	2
2020-10-06 02:45:00	226	-99.999	2
2020-10-06 02:55:00	222	-99.999	2
2020-10-06 03:05:00	223	-99.999	2
2020-10-06 03:15:00	219	-99.999	2
2020-10-06 03:25:00	217	-99.999	2
2020-10-06 03:35:00	217	-99.999	2
2020-10-06 03:45:00	215	-99.999	2
2020-10-06 03:55:00	216	-99.999	2
2020-10-06 04:05:00	209	-99.999	2
2020-10-06 04:15:00	211	-99.999	2
2020-10-06 04:25:00	211	-99.999	2
2020-10-06 04:35:00	203	-99.999	2
2020-10-06 04:45:00	203	-99.999	2
2020-10-06 04:55:00	206	-99.999	2
